Year,RunSize,Stock,StatWeek,Prop.D108,Prop.D10641
1994,142340,Talhtan,24,,
1994,142340,Talhtan,25,0.25,
1994,142340,Talhtan,26,0.49,0.466
1994,142340,Talhtan,27,0.48,0.501
1994,142340,Talhtan,28,0.59,0.38
1994,142340,Talhtan,29,0.31,0.179
1994,142340,Talhtan,30,0.24,0.113
1994,142340,Talhtan,31,0.07,0.019
1994,142340,Talhtan,32,0.06,0.06
1994,142340,Talhtan,33,0.02,0.049
1994,142340,Talhtan,34,0.03,0.083
1995,133955,Talhtan,24,0.374,
1995,133955,Talhtan,25,0.636,0.39
1995,133955,Talhtan,26,0.546,0.424
1995,133955,Talhtan,27,0.508,0.391
1995,133955,Talhtan,28,0.458,0.13
1995,133955,Talhtan,29,0.236,0.018
1995,133955,Talhtan,30,0.065,0.003
1995,133955,Talhtan,31,0.025,0.005
1995,133955,Talhtan,32,0.008,0.003
1995,133955,Talhtan,33,0.008,0.013
1995,133955,Talhtan,34,0.008,0
1996,243141,Talhtan,24,0.26,
1996,243141,Talhtan,25,0.7,0.436
1996,243141,Talhtan,26,0.74,0.672
1996,243141,Talhtan,27,0.76,0.459
1996,243141,Talhtan,28,0.64,0.343
1996,243141,Talhtan,29,0.3,0.169
1996,243141,Talhtan,30,0.1,0.07
1996,243141,Talhtan,31,0.05,0
1996,243141,Talhtan,32,0.03,0.021
1996,243141,Talhtan,33,0.03,0
1996,243141,Talhtan,34,0.03,0
1997,80727,Talhtan,24,0.31,
1997,80727,Talhtan,25,0.39,0.122
1997,80727,Talhtan,26,0.46,0.115
1997,80727,Talhtan,27,0.35,0.215
1997,80727,Talhtan,28,0.2,0.075
1997,80727,Talhtan,29,0.08,0.016
1997,80727,Talhtan,30,0.14,0.017
1997,80727,Talhtan,31,0.04,0.002
1997,80727,Talhtan,32,0.04,0
1997,80727,Talhtan,33,0.04,0
1997,80727,Talhtan,34,0.04,0
1998,35027,Talhtan,24,,
1998,35027,Talhtan,25,,
1998,35027,Talhtan,26,0.33,0.026
1998,35027,Talhtan,27,0.36,0.129
1998,35027,Talhtan,28,0.13,0.004
1998,35027,Talhtan,29,0.27,0.007
1998,35027,Talhtan,30,0.03,0.007
1998,35027,Talhtan,31,0.07,0.003
1998,35027,Talhtan,32,0.1,0.009
1998,35027,Talhtan,33,0.1,0.001
1998,35027,Talhtan,34,0.1,0.001
1999,59367,Talhtan,24,,
1999,59367,Talhtan,25,,
1999,59367,Talhtan,26,0.43,0.334
1999,59367,Talhtan,27,0.53,0.145
1999,59367,Talhtan,28,0.47,0.085
1999,59367,Talhtan,29,0.54,0.075
1999,59367,Talhtan,30,0.37,0.043
1999,59367,Talhtan,31,0.01,0.004
1999,59367,Talhtan,32,0.03,0
1999,59367,Talhtan,33,0.03,0
1999,59367,Talhtan,34,0.03,0
2000,19143,Talhtan,24,,
2000,19143,Talhtan,25,,
2000,19143,Talhtan,26,0.41,0.045
2000,19143,Talhtan,27,0.23,0.089
2000,19143,Talhtan,28,0.1,0.004
2000,19143,Talhtan,29,0.05,0.043
2000,19143,Talhtan,30,0.03,0.003
2000,19143,Talhtan,31,0.015,0
2000,19143,Talhtan,32,0.015,0.006
2000,19143,Talhtan,33,0.015,0
2000,19143,Talhtan,34,0.015,0
2001,27324,Talhtan,24,NA,
2001,27324,Talhtan,25,NA,0.008
2001,27324,Talhtan,26,NA,0.121
2001,27324,Talhtan,27,NA,0.063
2001,27324,Talhtan,28,NA,0.008
2001,27324,Talhtan,29,NA,0.023
2001,27324,Talhtan,30,NA,0.025
2001,27324,Talhtan,31,NA,0
2001,27324,Talhtan,32,NA,0
2001,27324,Talhtan,33,NA,0
2001,27324,Talhtan,34,NA,0
2002,27735,Talhtan,24,NA,
2002,27735,Talhtan,25,NA,0.086
2002,27735,Talhtan,26,NA,0.214
2002,27735,Talhtan,27,NA,0.096
2002,27735,Talhtan,28,NA,0.035
2002,27735,Talhtan,29,NA,0
2002,27735,Talhtan,30,NA,0.016
2002,27735,Talhtan,31,NA,0
2002,27735,Talhtan,32,NA,0
2002,27735,Talhtan,33,NA,0
2002,27735,Talhtan,34,NA,0
2003,98106,Talhtan,24,NA,
2003,98106,Talhtan,25,NA,0.138
2003,98106,Talhtan,26,NA,0.313
2003,98106,Talhtan,27,NA,0.234
2003,98106,Talhtan,28,NA,0.194
2003,98106,Talhtan,29,NA,0.084
2003,98106,Talhtan,30,NA,0.009
2003,98106,Talhtan,31,NA,0.058
2003,98106,Talhtan,32,NA,0
2003,98106,Talhtan,33,NA,0
2003,98106,Talhtan,34,NA,0
2004,217213,Talhtan,24,NA,
2004,217213,Talhtan,25,0.57,0.146
2004,217213,Talhtan,26,0.81,0.415
2004,217213,Talhtan,27,0.76,0.531
2004,217213,Talhtan,28,0.63,0.364
2004,217213,Talhtan,29,0.46,0.188
2004,217213,Talhtan,30,0.29,0.107
2004,217213,Talhtan,31,,0.082
2004,217213,Talhtan,32,,0.086
2004,217213,Talhtan,33,0,0.037
2004,217213,Talhtan,34,0,0.028
2005,174617,Talhtan,24,0.47,
2005,174617,Talhtan,25,0.47,0.249
2005,174617,Talhtan,26,0.373,0.38
2005,174617,Talhtan,27,0.714,0.467
2005,174617,Talhtan,28,0.513,0.217
2005,174617,Talhtan,29,0.48,0.216
2005,174617,Talhtan,30,0.262,0.19
2005,174617,Talhtan,31,0.256,0.028
2005,174617,Talhtan,32,0.337,0.027
2005,174617,Talhtan,33,0.163,0.016
2005,174617,Talhtan,34,0.018,0.006
2006,185097,Talhtan,24,0.4,0.077
2006,185097,Talhtan,25,0.57,0.286
2006,185097,Talhtan,26,0.7,0.551
2006,185097,Talhtan,27,0.64,0.432
2006,185097,Talhtan,28,0.62,0.281
2006,185097,Talhtan,29,0.54,0.204
2006,185097,Talhtan,30,0.47,0.131
2006,185097,Talhtan,31,0.4,0.012
2006,185097,Talhtan,32,0.09,0.036
2006,185097,Talhtan,33,0.12,0.053
2006,185097,Talhtan,34,0.06,0.076
2007,122867,Talhtan,24,0.67,NA
2007,122867,Talhtan,25,0.67,NA
2007,122867,Talhtan,26,0.58,NA
2007,122867,Talhtan,27,0.47,NA
2007,122867,Talhtan,28,0.38,NA
2007,122867,Talhtan,29,0.27,NA
2007,122867,Talhtan,30,0.21,NA
2007,122867,Talhtan,31,0.07,NA
2007,122867,Talhtan,32,0.02,NA
2007,122867,Talhtan,33,0,NA
2007,122867,Talhtan,34,0,NA
2008,46335,Talhtan,24,0.54,0.285
2008,46335,Talhtan,25,0.54,0.285
2008,46335,Talhtan,26,0.46,0.31
2008,46335,Talhtan,27,0.37,0.201
2008,46335,Talhtan,28,0.24,0.139
2008,46335,Talhtan,29,0.33,0.093
2008,46335,Talhtan,30,0.07,0.051
2008,46335,Talhtan,31,0.01,0
2008,46335,Talhtan,32,0,0.005
2008,46335,Talhtan,33,0,0.004
2008,46335,Talhtan,34,0,0.006
2009,98092,Talhtan,24,,
2009,98092,Talhtan,25,,0.477
2009,98092,Talhtan,26,0.488,0.494
2009,98092,Talhtan,27,0.518,0.311
2009,98092,Talhtan,28,0.223,0.116
2009,98092,Talhtan,29,0.259,0.194
2009,98092,Talhtan,30,0.174,0
2009,98092,Talhtan,31,0.193,0.052
2009,98092,Talhtan,32,0.078,0.016
2009,98092,Talhtan,33,0.118,0.023
2009,98092,Talhtan,34,0.137,0.006
2010,66086,Talhtan,24,,
2010,66086,Talhtan,25,,0.207
2010,66086,Talhtan,26,0.512,0.153
2010,66086,Talhtan,27,0.495,0.144
2010,66086,Talhtan,28,0.277,0.15
2010,66086,Talhtan,29,0.286,0.065
2010,66086,Talhtan,30,0.2,0.043
2010,66086,Talhtan,31,0.094,0
2010,66086,Talhtan,32,0.041,0
2010,66086,Talhtan,33,0.015,0
2010,66086,Talhtan,34,0.008,0
2011,102706,Talhtan,24,,
2011,102706,Talhtan,25,,0.129
2011,102706,Talhtan,26,0.753,0.259
2011,102706,Talhtan,27,0.615,0.294
2011,102706,Talhtan,28,0.418,0.079
2011,102706,Talhtan,29,0.285,0.093
2011,102706,Talhtan,30,0.091,0.059
2011,102706,Talhtan,31,0.071,0.043
2011,102706,Talhtan,32,0.01,0
2011,102706,Talhtan,33,0.013,0
2011,102706,Talhtan,34,0.011,0
2012,29738,Talhtan,24,,
2012,29738,Talhtan,25,0.43,0.331
2012,29738,Talhtan,26,0.333,0.157
2012,29738,Talhtan,27,0.215,0.051
2012,29738,Talhtan,28,0.107,0.025
2012,29738,Talhtan,29,0.029,0.017
2012,29738,Talhtan,30,0.023,0.007
2012,29738,Talhtan,31,0,0
2012,29738,Talhtan,32,0,0
2012,29738,Talhtan,33,0.001,0.001
2012,29738,Talhtan,34,0.001,0.001
2013,36791,Talhtan,24,,
2013,36791,Talhtan,25,0.43,0.264
2013,36791,Talhtan,26,0.402,0.264
2013,36791,Talhtan,27,0.109,0.097
2013,36791,Talhtan,28,0.086,0.033
2013,36791,Talhtan,29,0.022,0.001
2013,36791,Talhtan,30,0.014,0
2013,36791,Talhtan,31,0.007,0
2013,36791,Talhtan,32,0.003,0
2013,36791,Talhtan,33,0.02,0
2013,36791,Talhtan,34,0.02,0
2014,78206,Talhtan,24,,
2014,78206,Talhtan,25,0.41,0.491
2014,78206,Talhtan,26,0.205,0.298
2014,78206,Talhtan,27,0.18,0.27
2014,78206,Talhtan,28,0.008,0.014
2014,78206,Talhtan,29,0.013,0.024
2014,78206,Talhtan,30,0.011,0.019
2014,78206,Talhtan,31,0.001,0
2014,78206,Talhtan,32,0,0
2014,78206,Talhtan,33,0,0
2014,78206,Talhtan,34,0,0
2015,74151,Talhtan,24,,
2015,74151,Talhtan,25,0.34,0.03
2015,74151,Talhtan,26,0.408,0.089
2015,74151,Talhtan,27,0.487,0.15
2015,74151,Talhtan,28,0.407,0.093
2015,74151,Talhtan,29,0.381,0.088
2015,74151,Talhtan,30,0.295,0.047
2015,74151,Talhtan,31,0.081,0.033
2015,74151,Talhtan,32,0.078,0.016
2015,74151,Talhtan,33,0.094,0.007
2015,74151,Talhtan,34,0.003,0.001
2016,155331,Talhtan,24,,
2016,155331,Talhtan,25,0.58,0.364
2016,155331,Talhtan,26,0.711,0.409
2016,155331,Talhtan,27,0.66,0.353
2016,155331,Talhtan,28,0.644,0.395
2016,155331,Talhtan,29,0.473,0.22
2016,155331,Talhtan,30,0.345,0.054
2016,155331,Talhtan,31,0.248,0.021
2016,155331,Talhtan,32,0.132,0.008
2016,155331,Talhtan,33,0.053,0
2016,155331,Talhtan,34,0.033,0
